Atualização;n;Abrangência2;Abrangência1;UF;Município;Empreendimento;Eixo;Subeixo;Modalidade;Classificação;Estágio;Estimativa do valor total do empreendimento no Novo PAC (2023-2030) (R$);Percentual de execução do empreendimento (%);Tipo de Executor
abr/25;2978;Intra Estado;Município;RS;Vera Cruz;Substituição da Adutora de Água Tratada Fonte Diehl;Água Para Todos;Abastecimento de água;Seleção - Abastecimento de Água;Obra;Em ação preparatória;5.173.395,82;;Municipal
abr/25;6487;Intra Estado;Municípios;RS;Aceguá, Arroio do Padre, Arroio Grande, Candiota, Canguçu, Capão do Leão, Cerrito, Herval, Hulha Negra, Jaguarão, Morro Redondo, Pedras Altas, Pedro Osório, Pelotas, Pinheiro Machado, Piratini, Rio Grande, Santa Vitória do Palmar, Santana da Boa Vista, São José do Norte, São Lourenço do Sul, Turuçu;Implementação de tecnologias sociais de acesso à água - RS;Água Para Todos;Água para quem mais precisa;Cisternas;Obra;Em execução;3.802.442,88;49;Federal
abr/25;3026;Intra Estado;Municípios;RS;Barros Cassal, Cristal do Sul, Fontoura Xavier, Ibirapuitã, Amaral Ferrador;Sistemas de abastecimento de água em áreas rurais de Barros Cassal, Cristal do Sul, Fontoura Xavier, Ibirapuitã, Amaral Ferrador;Água Para Todos;Água para quem mais precisa;Seleção - Abastecimento de água - Rural;Obra;Em ação preparatória;1.499.954,33;;Estadual
abr/25;3074;Intra Estado;Município;RS;Caxias do Sul ;Sistemas de abastecimento de água em áreas rurais de Caxias do Sul;Água Para Todos;Água para quem mais precisa;Seleção - Abastecimento de água - Rural;Obra;Em ação preparatória;1.629.826,47;;Estadual
abr/25;3110;Intra Estado;Município;RS;Formigueiro;Sistemas de abastecimento de água em áreas rurais de Formigueiro;Água Para Todos;Água para quem mais precisa;Seleção - Abastecimento de água - Rural;Obra;Em ação preparatória;562.131,52;;Estadual
abr/25;10567;Intra Estado;Município;RS;Iraí;Acesso à água na Aldeia AEROPORTO em IRAÍ - RS;Água Para Todos;Água para quem mais precisa;Sistemas simplificados – Aldeias Indígenas;Obra;Concluído;1.729.377,34;100;Federal
abr/25;10568;Intra Estado;Município;RS;Lajeado do Bugre;Acesso à água na Aldeia PASSO DO INDIO em LAJEADO DO BUGRE - RS;Água Para Todos;Água para quem mais precisa;Sistemas simplificados – Aldeias Indígenas;Obra;Concluído;150.887,24;100;Federal
abr/25;637;Intra Estado;Município;RS;Bagé;Barragem Arvorezinha;Água Para Todos;Infraestrutura Hídrica;Barragens;Obra;Em execução;66.509.301,00;35,6;Municipal
abr/25;641;Intra Estado;Município;RS;Dom Pedrito;Barragem Arroio Taquarembó;Água Para Todos;Infraestrutura Hídrica;Barragens;Obra;Em execução;37.256.038,00;60;Estadual
abr/25;639;Intra Estado;Municípios;RS;São Gabriel, Lavras do Sul;Barragem Arroio Jaguari;Água Para Todos;Infraestrutura Hídrica;Barragens;Obra;Em execução;18.269.012,00;82,5;Estadual
abr/25;3730;Intra Estado;Município;RS;Bagé;Implantação do Sistema de Esgotamento Sanitário - SES no Bairro Castro;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;6.382.021,75;;Municipal
abr/25;613;Intra Estado;Município;RS;Bento Gonçalves;Saneamento integrado no bairro Recanto da Aurora;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Concluído;0,00;100;Municipal
abr/25;1738;Intra Estado;Municípios;RS;Cachoeirinha, Gravataí;Ampliação do Sistema de Esgotamento Sanitário (SES) e da Estação de Tratamento de Esgoto (ETE) Freeway - Cahoeirinha e Gravataí;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em ação preparatória;20.299.043,00;;Estadual
abr/25;1752;Intra Estado;Município;RS;Carlos Barbosa;Implantação do Sistema de Esgotamento Sanitário (SES) na Bacia Boa Vista;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Concluído;15.721.982,00;100;Estadual
abr/25;3334;Intra Estado;Município;RS;Caxias do Sul ;Ampliação da Coleta Dos Esgotos Sanitários Em Bairros de Caxias Do Sul, Para Tratamento na ETE Pena Branca;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;12.822.135,00;;Municipal
abr/25;3336;Intra Estado;Município;RS;Caxias do Sul ;Ampliação da Coleta dos Esgotos Sanitários Gerados para Tratamento na ETE Tega;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;10.598.637,00;;Municipal
abr/25;1754;Intra Estado;Município;RS;Horizontina;Implantação do Sistema de Esgotamento Sanitário (SES) na Bacia LG 02;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em ação preparatória;12.817.217,00;;Estadual
abr/25;1756;Intra Estado;Município;RS;Imbé;Implantação do Sistema de Esgotamento Sanitário (SES) nas Bacias 1, 1A, 2, 3A e 4;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em ação preparatória;1.219.067,00;;Estadual
abr/25;3772;Intra Estado;Município;RS;Maratá;Instalação Esgotamento Sanitário;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;3.300.000,00;;Municipal
abr/25;1720;Intra Estado;Município;RS;Novo Hamburgo;Ampliação do Sistema de Esgotamento Sanitário (SES) - Bacia do Arroio Luiz Rau e do Arrio Pampa;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em execução;26.237.330,00;41,4;Municipal
abr/25;3668;Intra Estado;Município;RS;Novo Hamburgo;Implantação do Sistema de Esgotamento Sanitário - SES Pampa - Etapa 1;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;141.561.166,00;;Municipal
abr/25;1797;Intra Estado;Município;RS;Passo Fundo;Implantação do Sistema de Esgotamento Sanitário (SES) na Bacia Pinheiro Torto;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em execução;43.868.202,00;55,9;Estadual
abr/25;3322;Intra Estado;Município;RS;Pelotas;Afastamento e Tratamento de Efluente de Esgoto das Bacias 09 e 13 - Etapa 1;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;70.000.000,00;;Municipal
abr/25;3324;Intra Estado;Município;RS;Pelotas;Afastamento e Tratamento de Efluente de Esgoto das Bacias 10 e 11 - Etapa 1;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;55.637.747,00;;Municipal
abr/25;398;Intra Estado;Município;RS;Pelotas;Implantação da Estação de Tratamento de Esgoto (ETE) Novo Mundo;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em execução;673.689,54;97,9;Municipal
abr/25;3818;Intra Estado;Município;RS;Pinhal;Sistema de Coleta do Esgoto Sanitário - Rede Coletora;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;3.326.989,10;;Municipal
abr/25;3452;Intra Estado;Município;RS;Ponte Preta;Continuação do Sistema de Esgoto Sanitário - Bacias B1, B2, B3;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;2.890.000,00;;Municipal
abr/25;1795;Intra Estado;Município;RS;Porto Alegre;Ampliação do Sistema de Esgotamento Sanitário (SES) Sarandi;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Concluído;4.929.083,00;100;Municipal
abr/25;2279;Intra Estado;Município;RS;Porto Alegre;Concessão de saneamento básico;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Estudos de Concessão - esgotamento sanitário;Concessão / PPP;Em ação preparatória;4.200.000,00;;Federal
abr/25;3490;Intra Estado;Município;RS;Porto Alegre;Execução de Obra de Esgotamento Sanitário no Ses Navegantes, Subbacia Arroio da Areia 1 (Aa1);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;58.209.584,00;;Municipal
abr/25;3528;Intra Estado;Município;RS;Porto Alegre;Implantação de Emissários, Ebes e Redes de Esgotamento Sanitário no Ses Navegantes, Sub Bacia Humaitá (Saneamento Integrado Com As Obras de Macrodrenagem do Polder 5);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;60.605.211,00;;Municipal
abr/25;460;Intra Estado;Município;RS;Rolante;Ampliação do Sistema de Esgotamento Sanitário (SES);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em ação preparatória;7.371.255,74;;Municipal
abr/25;1773;Intra Estado;Município;RS;Santa Maria;Ampliação do Sistema de Esgotamento Sanitário (SES) nas Vilas Jockey Club, Tomaz, Alegria e Medianeira;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em execução;77.937.947,00;43,7;Estadual
abr/25;392;Intra Estado;Município;RS;Sant'Ana do Livramento;Ampliação do Sistema de Esgotamento Sanitário (SES);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em execução;10.327.300,42;31,7;Municipal
abr/25;418;Intra Estado;Município;RS;São Leopoldo;Ampliação do Sistema de Esgotamento Sanitário (SES);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em execução;74.942.831,08;2;Municipal
abr/25;3482;Intra Estado;Município;RS;São Leopoldo;Execução de Bacia de Esgotamento Sanitário - SES Santos Dumont;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;75.687.613,23;;Municipal
abr/25;3484;Intra Estado;Município;RS;São Leopoldo;Execução de Bacia de Esgotamento Sanitário Arroio da Manteiga - Etapa 1;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Seleção - Esgotamento Sanitário;Obra;Em ação preparatória;123.872.415,00;;Municipal
abr/25;1850;Intra Estado;Município;RS;São Luiz Gonzaga;Implantação do Sistema de Esgotamento Sanitário (SES);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em ação preparatória;22.406.000,00;;Estadual
abr/25;1911;Intra Estado;Município;RS;Uruguaiana;Ampliação do Sistema de Esgotamento Sanitário (SES);Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Concluído;3.245.405,00;100;Privado
abr/25;1757;Intra Estado;Município;RS;Xangri-lá;Implantação do Sistema de Esgotamento Sanitário (SES) Av. Paraguassu;Cidades Sustentáveis e Resilientes;Esgotamento sanitário;Retomada, conclusão e novas obras;Obra;Em ação preparatória;14.651.179,00;;Estadual
abr/25;5526;Intra Estado;Municípios;RS;Ametista do Sul, Barra do Guarita, Boa Vista das Missões, Caiçara, Cerro Grande, Coronel Bicaco, Cristal do Sul, Derrubadas, Dois Irmãos das Missões, Erval Seco, Frederico Westphalen, Iraí, Jaboticaba, Lajeado do Bugre, Miraguaí, Novo Tiradentes, Palmitinho, Pinhal, Pinheirinho do Vale, Planalto, Redentora, Rodeio Bonito, Sagrada Família, São Pedro das Missões, Seberi, Taquaruçu do Sul, Tenente Portela, Vicente Dutra, Vista Alegre, Vista Gaúcha;Otimização e Ampliação do Processo de Compostagem dos Resíduos Orgânicos no Consórcio Intermunicipal de Gestão de Resíduos Sólidos – CIGRES.;Cidades Sustentáveis e Resilientes;Gestão de Resíduos Sólidos;Seleção - Gestão de Resíduos Sólidos;Obra;Em ação preparatória;834.885,25;;Municipal
abr/25;2267;Intra Estado;Municípios;RS;André da Rocha, Antônio Prado, Bento Gonçalves, Carlos Barbosa, Caxias do Sul, Coronel Pilar, Cotiporã, Fagundes Varela, Farroupilha, Garibaldi, Guaporé, Monte Belo do Sul, Nova Araçá, Nova Bassano, Nova Prata, Nova Roma do Sul, Paraí, Pinto Bandeira, Santa Tereza, São Jorge, São Marcos, Veranópolis, Vila Flores;Concessão Consórcio CISGA;Cidades Sustentáveis e Resilientes;Gestão de Resíduos Sólidos;Estudos de Concessão - resíduos sólidos;Concessão / PPP;Em execução;9.301.047,00;32;Federal
abr/25;2257;Intra Estado;Municípios;RS;Araricá, Campo Bom, Capela de Santana, Esteio, Glorinha, Igrejinha, Nova Hartz, Nova Santa Rita, Parobé, Portão, Riozinho, Rolante, São Francisco de Paula, Sapucaia do Sul;Concessão Consórcio Rio dos Sinos;Cidades Sustentáveis e Resilientes;Gestão de Resíduos Sólidos;Estudos de Concessão - resíduos sólidos;Concessão / PPP;Em execução;8.181.047,00;43;Federal
abr/25;5528;Intra Estado;Municípios;RS;Bom Progresso, Braga, Campo Novo, Coronel Bicaco, Crissiumal, Esperança do Sul, Humaitá, Sede Nova, São Martinho, São Valério do Sul, Tiradentes do Sul, Três Passos;Qualificação e Ampliação do Processo de Compostagem dos Resíduos Orgânicos no Consórcio Intermunicipal de Gestão Multifuncional-CITEGEM.;Cidades Sustentáveis e Resilientes;Gestão de Resíduos Sólidos;Seleção - Gestão de Resíduos Sólidos;Obra;Em ação preparatória;1.033.153,45;;Municipal
abr/25;2269;Intra Estado;Municípios;RS;Santa Maria, Santiago, São João do Polêsine, São Martinho da Serra, São Pedro do Sul, São Sepé, Silveira Martins, Tupanciretã, Agudo, Dilermando de Aguiar, Faxinal do Soturno, Formigueiro, Itaara, Ivorá, Júlio de Castilhos, Nova Palma, Pinhal Grande, Restinga Sêca, Toropi, Vila Nova do Sul, Cacequi, Capão do Cipó, Dona Francisca, Jaguari, Jari, Mata, Nova Esperança do Sul, Paraíso do Sul, Quevedos, São Francisco de Assis, São Vicente do Sul, Unistalda;Concessão Consórcio CI Região Centro;Cidades Sustentáveis e Resilientes;Gestão de Resíduos Sólidos;Estudos de Concessão - resíduos sólidos;Concessão / PPP;Em execução;10.421.047,00;53;Federal
abr/25;2340;Intra Estado;Estado;RS;Rio Grande do Sul;Minha Casa Minha Vida - Faixa 1 - Rio Grande do Sul;Cidades Sustentáveis e Resilientes;Minha Casa Minha Vida;Faixa 1;Obra;Concluído;3.126.859.612,00;100;Privado
abr/25;2392;Intra Estado;Estado;RS;Rio Grande do Sul;Minha Casa Minha Vida - Faixa 2 - Rio Grande do Sul;Cidades Sustentáveis e Resilientes;Minha Casa Minha Vida;Faixa 2;Obra;Concluído;2.929.091.450,00;100;Privado
abr/25;2442;Intra Estado;Estado;RS;Rio Grande do Sul;Minha Casa Minha Vida - Faixa 3 - Rio Grande do Sul;Cidades Sustentáveis e Resilientes;Minha Casa Minha Vida;Faixa 3;Obra;Concluído;3.326.972.454,00;100;Privado
abr/25;2302;Intra Estado;Estado;RS;Rio Grande do Sul;Minha Casa Minha Vida - Retomada e Conclusão de Obras - Rio Grande do Sul;Cidades Sustentáveis e Resilientes;Minha Casa Minha Vida;Retomada e Conclusão de Obras;Obra;Em execução;85.708.968,39;40,1;Privado
abr/25;3908;Intra Estado;Municípios;RS;Alvorada, Porto Alegre, Viamão;Centro de Controle Operacional - CCO;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Mobilidade Urbana Sustentável;Equipamento;Em ação preparatória;21.000.000,00;;Municipal
abr/25;3928;Intra Estado;Municípios;RS;Alvorada, Porto Alegre, Viamão;Duplicação da estrada Caminho do Meio que liga POA, Alvorada e Viamão com implantação de faixa exclusiva;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Mobilidade Urbana Sustentável;Obra;Em ação preparatória;25.000.000,00;;Estadual
abr/25;3960;Intra Estado;Município;RS;Cachoeirinha;Estudos e Projetos - Faixa Exclusiva;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Mobilidade Urbana Sustentável;Estudo / Projeto / Plano;Em ação preparatória;2.175.333,92;;Estadual
abr/25;3972;Intra Estado;Município;RS;Porto Alegre;Estudos e Projetos - Implantação e Requalificação de Terminais;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Mobilidade Urbana Sustentável;Estudo / Projeto / Plano;Em ação preparatória;2.700.000,00;;Municipal
abr/25;4148;Intra Estado;Município;RS;Porto Alegre;Renovação de Frota - 100 Ônibus Elétricos e 500 Euro 6;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Renovação de Frota;Equipamento;Em ação preparatória;1.008.479.488,00;;Municipal
abr/25;4110;Intra Estado;Município;RS;Santa Maria;Renovação de Frota - 16 Ônibus Elétricos;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Renovação de Frota;Equipamento;Em ação preparatória;60.200.000,00;;Municipal
abr/25;4112;Intra Estado;Município;RS;São Leopoldo;Renovação de Frota - 4 Ônibus Elétricos;Cidades Sustentáveis e Resilientes;Mobilidade Urbana Sustentável;Seleção - Renovação de Frota;Equipamento;Em ação preparatória;15.600.000,00;;Municipal
abr/25;4962;Intra Estado;Município;RS;Bento Gonçalves;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;400.000,00;;Municipal
abr/25;4996;Intra Estado;Município;RS;Canoas;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;924.882,47;;Municipal
abr/25;5012;Intra Estado;Município;RS;Caxias do Sul ;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;3.000.000,00;;Municipal
abr/25;5030;Intra Estado;Município;RS;Cruz Alta;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;911.157,66;;Municipal
abr/25;5042;Intra Estado;Município;RS;Erechim;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;650.000,00;;Municipal
abr/25;202;Intra Estado;Município;RS;Esteio;Arroio Sapucaia;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em execução;10.512.887,53;36,5;Municipal
abr/25;5046;Intra Estado;Município;RS;Esteio;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;400.000,00;;Municipal
abr/25;5050;Intra Estado;Município;RS;Farroupilha;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;404.000,00;;Municipal
abr/25;5072;Intra Estado;Município;RS;Guaíba;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;1.000.000,00;;Municipal
abr/25;5116;Intra Estado;Município;RS;Lajeado;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;1.000.000,00;;Municipal
abr/25;108;Intra Estado;Município;RS;Pelotas;Farroupilha;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em execução;6.305.392,91;77,6;Municipal
abr/25;5184;Intra Estado;Município;RS;Pelotas;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;763.622,20;;Municipal
abr/25;5198;Intra Estado;Município;RS;Porto Alegre;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;2.700.000,00;;Municipal
abr/25;4832;Intra Estado;Município;RS;Porto Alegre;Urbanização e qualificação da Grande Mato Sampaio;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Periferia Viva - Urbanização de Favelas;Obra;Em ação preparatória;33.470.271,84;;Municipal
abr/25;1969;Intra Estado;Município;RS;Porto Alegre;Vila Nazaré;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Concluído;4.628.616,00;100;Municipal
abr/25;112;Intra Estado;Município;RS;Rio Grande;Orla Portuária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em execução;0,00;82,4;Municipal
abr/25;5228;Intra Estado;Município;RS;Rio Grande;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;406.000,00;;Municipal
abr/25;1972;Intra Estado;Município;RS;Santa Cruz do Sul;Projeto Bom Jesus;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em execução;5.299.659,00;92,6;Municipal
abr/25;110;Intra Estado;Município;RS;Santa Maria;Arroio Cadena e Vacacaí Mirim;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em execução;3.868.672,95;80,4;Municipal
abr/25;5260;Intra Estado;Município;RS;São Gabriel;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;566.000,00;;Municipal
abr/25;1967;Intra Estado;Município;RS;São Leopoldo;Arroios Manteiga e Cerquinha;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em ação preparatória;28.012.006,00;;Municipal
abr/25;204;Intra Estado;Município;RS;São Leopoldo;Bairro São Miguel;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Retomada, conclusão e novas obras;Obra;Em ação preparatória;5.744.359,84;;Municipal
abr/25;4880;Intra Estado;Município;RS;São Leopoldo;Urbanização e qualificação do NUI Ocupação Steigleder;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Periferia Viva - Urbanização de Favelas;Obra;Em ação preparatória;138.030.286,36;;Municipal
abr/25;5272;Intra Estado;Município;RS;Sapucaia do Sul;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em licitação / Leilão;597.476,48;;Municipal
abr/25;5284;Intra Estado;Município;RS;Taquara;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;400.000,00;;Municipal
abr/25;5314;Intra Estado;Município;RS;Viamão;Regularização Fundiária;Cidades Sustentáveis e Resilientes;Periferia Viva - Urbanização de Favelas;Seleção - Regularização Fundiária;Estudo / Projeto / Plano;Em ação preparatória;1.135.390,40;;Municipal
